city,province,lat,lng,month,season,rainfall_1h,rainfall_3h,rainfall_24h,humidity,temperature,wind_speed,elevation_m,distance_to_river_km,soil_type,soil_type_encoded,flood_prone_score,risk_level
Kota Depok,Jawa Barat,-6.4,106.81861,5,dry,0.1,0.3,1.0,81.70833333333333,27.04583333333333,4.104166666666667,1005.14,18.98540292056942,clay,1,12.39,waspada
Kota Cimahi,Jawa Barat,-6.87222,107.5425,1,rainy,0.36,1.08,3.6,85.875,22.212499999999995,4.825,1291.11,11.679334337021782,peat,3,17.49,awas
Kota Tasikmalaya,Jawa Barat,-7.3274,108.2207,2,rainy,1.12,3.36,11.2,90.58333333333331,24.52083333333333,2.641666666666667,204.67,15.677766436844589,clay,1,1.88,aman
Kabupaten Klaten,Jawa Tengah,-7.70583,110.60639,10,rainy,0.81,2.43,8.1,87.20833333333333,26.229166666666668,8.120833333333332,439.22,3.5238048073143036,loam,2,8.79,siaga
Kota Magelang,Jawa Tengah,-7.47056,110.21778,1,rainy,0.81,2.43,8.1,84.08333333333333,24.95416666666667,2.5375,345.67,9.402746739065849,peat,3,3.03,aman
Kota Surakarta,Jawa Tengah,-7.55611,110.83167,11,rainy,0.95,2.85,9.5,86.83333333333333,26.09583333333333,7.216666666666666,591.81,13.986161200685913,peat,3,9.8,siaga
Kota Semarang,Jawa Tengah,-6.99306,110.42083,12,rainy,0.2,0.6,2.0,77.625,28.070833333333336,6.870833333333333,1356.58,6.545249299109941,alluvial,0,3.7,aman
Kota Pekalongan,Jawa Tengah,-6.8886,109.6753,11,rainy,0.15,0.4499999999999999,1.5,83.54166666666667,27.745833333333334,4.191666666666666,211.7,4.187596712289605,clay,1,1.87,aman
Kota Tegal,Jawa Tengah,-6.8694,109.1402,5,dry,0.6000000000000001,1.7999999999999998,6.0,85.04166666666667,27.120833333333334,6.016666666666667,1139.28,10.700615043004634,clay,1,14.88,waspada
Kabupaten Malang,Jawa Timur,-7.9797,112.6304,6,dry,0.6900000000000001,2.07,6.9,86.54166666666667,24.8875,3.8166666666666655,757.89,10.711810641316173,sandy,4,4.31,aman
Kabupaten Lumajang,Jawa Timur,-8.1335,113.2248,8,dry,1.14,3.42,11.4,89.08333333333333,26.316666666666677,4.379166666666667,681.89,8.250710111097435,sandy,4,10.08,waspada
Kota Kediri,Jawa Timur,-7.81667,112.01667,9,transition,0.5700000000000001,1.71,5.7,89.375,26.52916666666667,8.933333333333334,1497.81,4.475112538134386,sandy,4,4.92,aman
Kota Blitar,Jawa Timur,-8.0983,112.1681,9,transition,0.97,2.91,9.7,90.83333333333331,25.475000000000005,3.4416666666666664,328.65,1.4805480221248783,clay,1,8.16,siaga
Kota Probolinggo,Jawa Timur,-7.7543,113.2159,2,rainy,0.9,2.7,9.0,84.70833333333333,27.79583333333333,5.7125,1367.71,12.50876585567162,peat,3,18.46,awas
Kota Pasuruan,Jawa Timur,-7.6453,112.9075,10,rainy,1.05,3.15,10.5,85.33333333333333,27.85833333333333,6.625,1292.47,18.25824294205565,alluvial,0,19.77,awas
Kota Mojokerto,Jawa Timur,-7.4664,112.4338,10,rainy,0.14,0.42,1.4,84.875,27.625,8.9,1474.9,9.599260315551833,sandy,4,16.42,awas
Kota Madiun,Jawa Timur,-7.6298,111.5239,10,rainy,1.02,3.06,10.2,90.08333333333331,26.429166666666664,5.849999999999999,394.74,16.849138832376834,clay,1,5.61,siaga
Kota Surabaya,Jawa Timur,-7.24917,112.75083,1,rainy,1.1,3.3,11.0,81.66666666666667,27.916666666666668,7.425,31.74,0.764626604125188,peat,3,13.8,waspada
Kota Batu,Jawa Timur,-7.87,112.52833,11,rainy,0.8500000000000001,2.55,8.5,88.04166666666667,22.412500000000005,3.3083333333333336,1384.37,16.432274174658914,clay,1,13.45,waspada
Kabupaten Serang,Banten,-6.11528,106.15417,8,dry,0.31,0.93,3.1,86.33333333333333,26.8875,5.808333333333334,1337.01,17.081344693551845,peat,3,14.65,waspada
Kota Tangerang,Banten,-6.17806,106.63,7,dry,0.16,0.48,1.6,81.70833333333333,27.524999999999995,5.929166666666667,695.65,6.596187794177212,loam,2,1.88,aman
Kota Denpasar,Bali,-8.65,115.21667,6,dry,0.35,1.05,3.5,85.79166666666667,27.0625,4.929166666666667,444.97,15.982493591592617,sandy,4,5.86,siaga
Kota Mataram,Nusa Tenggara Barat,-8.58333,116.11667,5,dry,0.36,1.08,3.6,87.66666666666667,26.695833333333336,4.579166666666667,1419.14,15.237272710738518,sandy,4,2.11,aman
Kota Kupang,Nusa Tenggara Timur,-10.17083,123.60694,4,dry,0.08,0.24,0.8,74.66666666666667,27.558333333333334,13.345833333333331,1380.03,5.993672103032975,clay,1,7.3,siaga
Kota Pontianak,Kalimantan Barat,-0.03194,109.325,6,dry,0.8500000000000001,2.55,8.5,90.54166666666669,27.05,5.429166666666667,1085.45,15.694097342503357,alluvial,0,16.46,awas
Kota Balikpapan,Kalimantan Timur,-1.26753,116.82887,6,dry,0.0699999999999999,0.21,0.7,83.54166666666667,27.28333333333333,7.712500000000001,1409.31,5.010017098668982,peat,3,5.11,siaga
Kota Samarinda,Kalimantan Timur,-0.49167,117.14583,8,dry,0.19,0.57,1.9,83.25,28.058333333333326,5.929166666666667,323.64,18.05971035133173,sandy,4,18.18,awas
Kota Bontang,Kalimantan Timur,0.1324,117.4854,2,rainy,0.01,0.03,0.1,83.75,27.870833333333334,7.920833333333333,1219.8,10.011353968155914,clay,1,15.61,awas
Kota Tarakan,Kalimantan Utara,3.31332,117.59152,7,dry,0.2799999999999999,0.84,2.8,80.625,28.225,7.025000000000001,982.84,17.93586935158044,peat,3,2.91,aman
Kota Manado,Sulawesi Utara,1.48218,124.84892,5,dry,0.29,0.8700000000000001,2.9000000000000004,84.375,26.88333333333333,4.825,1126.2,18.174218400825872,loam,2,5.99,siaga
Kota Bitung,Sulawesi Utara,1.44059,125.12824,2,rainy,0.5900000000000001,1.77,5.9,88.58333333333333,26.841666666666665,5.654166666666666,530.87,19.75912493238617,clay,1,8.25,siaga
Kota Palu,Sulawesi Tengah,-0.90833,119.87083,4,dry,0.21,0.63,2.1,85.5,28.320833333333336,5.5875,1227.27,12.792565809734565,clay,1,2.59,aman
Kota Makassar,Sulawesi Selatan,-5.14861,119.43194,9,transition,0.06,0.18,0.6,83.875,28.02083333333333,5.754166666666667,18.4,10.36061755844428,loam,2,5.05,siaga
Kota Kendari,Sulawesi Tenggara,-3.9778,122.51507,5,dry,0.2799999999999999,0.84,2.8,90.16666666666669,26.516666666666666,4.0375000000000005,535.58,5.851369054889268,peat,3,4.13,aman
Kota Ambon,Maluku,-3.69583,128.18333,3,transition,0.4599999999999999,1.38,4.6,89.75,26.675,8.620833333333332,883.65,13.091041662623333,alluvial,0,6.93,siaga
Kota Ternate,Maluku Utara,0.78333,127.36667,10,rainy,0.47,1.4099999999999997,4.699999999999999,85.625,26.575000000000003,4.675,952.18,5.811412826047834,loam,2,3.47,aman
Kota Jayapura,Papua,-2.53371,140.71812,12,rainy,1.58,4.74,15.8,92.16666666666669,26.383333333333336,6.304166666666667,841.37,0.25244057088773797,sandy,4,10.34,waspada
Kota Sorong,Papua Barat Daya,-0.87956,131.26105,5,dry,0.8400000000000001,2.52,8.4,91.25,26.141666666666666,6.866666666666667,621.74,11.353529998890394,peat,3,5.69,siaga
