city,elevation_m
Kabupaten Indragiri Hulu,343.86
Kabupaten Bengkalis,259.15
Kabupaten Indragiri Hilir,601.73
Kabupaten Pelalawan,1248.33
Kabupaten Rokan Hulu,1007.99
Kabupaten Rokan Hilir,423.98
Kabupaten Siak,406.61
Kabupaten Kuantan Singingi,212.96
Kabupaten Kepulauan Meranti,363.72
Kota Pekanbaru,33.28
Kota Dumai,1046.64
Kabupaten Kerinci,965.67
Kabupaten Merangin,516.81
Kabupaten Sarolangun,1062.27
Kabupaten Batanghari,136.66
Kabupaten Muaro Jambi,26.44
Kabupaten Tanjung Jabung Barat,571.47
Kabupaten Tanjung Jabung Timur,1243.74
Kabupaten Bungo,299.71
Kabupaten Tebo,1404.36
Kota Jambi,1266.43
Kota Sungai Penuh,51.31
Kabupaten Ogan Komering Ulu,812.02
Kabupaten Ogan Komering Ilir,1101.3
Kabupaten Muara Enim,1466.7
Kabupaten Lahat,894.41
Kabupaten Musi Rawas,598.88
Kabupaten Musi Banyuasin,1478.81
Kabupaten Banyuasin,345.93
Kabupaten Ogan Komering Ulu Timur,428.59
Kabupaten Ogan Komering Ulu Selatan,822.75
Kabupaten Ogan Ilir,645.67
Kabupaten Empat Lawang,1175.98
Kabupaten Penukal Abab Lematang Ilir,654.66
Kabupaten Musi Rawas Utara,172.03
Kota Palembang,1158.67
Kota Pagar Alam,717.35
Kota Lubuk Linggau,1131.83
Kota Prabumulih,22.95
Kabupaten Bengkulu Selatan,746.83
Kabupaten Rejang Lebong,1014.48
Kabupaten Bengkulu Utara,1352.27
Kabupaten Kaur,211.58
Kabupaten Seluma,210.98
Kabupaten Mukomuko,368.8
Kabupaten Lebong,610.85
Kabupaten Kepahiang,638.22
Kabupaten Bengkulu Tengah,323.34
Kota Bengkulu,1471.64
Kabupaten Lampung Selatan,349.5
Kabupaten Lampung Tengah,353.78
Kabupaten Lampung Utara,1056.99
Kabupaten Lampung Barat,387.71
Kabupaten Tulang Bawang,1048.78
Kabupaten Tanggamus,1196.61
Kabupaten Lampung Timur,1339.77
Kabupaten Way Kanan,245.58
Kabupaten Pesawaran,20.38
Kabupaten Pringsewu,271.77
Kabupaten Mesuji,130.54
Kabupaten Tulang Bawang Barat,643.53
Kabupaten Pesisir Barat,1380.65
Kota Bandar Lampung,1491.01
Kota Metro,867.75
Kabupaten Bangka,530.75
Kabupaten Belitung,1111.65
Kabupaten Bangka Selatan,422.64
Kabupaten Bangka Tengah,109.73
Kabupaten Bangka Barat,1405.91
Kabupaten Belitung Timur,1251.28
Kota Pangkal Pinang,1039.17
Kabupaten Bintan,603.16
Kabupaten Karimun,67.77
Kabupaten Natuna,1054.58
Kabupaten Lingga,180.64
Kabupaten Kepulauan Anambas,326.15
Kota Batam,23.65
Kota Tanjung Pinang,399.84
Kabupaten Administrasi Kepulauan Seribu,893.26
Kota Administrasi Jakarta Pusat,930.35
Kota Administrasi Jakarta Utara ,462.03
Kota Administrasi Jakarta Barat,969.73
Kota Administrasi Jakarta Selatan,95.1
Kota Administrasi Jakarta Timur,1093.88
Kabupaten Bogor,38.96
Kabupaten Sukabumi,239.4
Kabupaten Cianjur,1306.85
Kabupaten Bandung,387.11
Kabupaten Garut,894.08
Kabupaten Tasikmalaya,1411.23
Kabupaten Ciamis,1183.1
Kabupaten Kuningan,1480.29
Kabupaten Cirebon,1094.65
Kabupaten Majalengka,961.2
Kabupaten Sumedang,204.67
Kabupaten Indramayu,171.62
Kabupaten Subang,730.67
Kabupaten Purwakarta,739.1
Kabupaten Karawang,1396.48
Kabupaten Bekasi,655.5
Kabupaten Bandung Barat,1140.99
Kabupaten Pangandaran,401.11
Kota Bogor,400.26
Kota Sukabumi,1290.2
Kota Bandung,487.64
Kota Cirebon,1218.64
Kota Bekasi,352.16
Kota Depok,1005.14
Kota Cimahi,1291.11
Kota Tasikmalaya,204.67
Kota Banjar,1174.09
Kabupaten Cilacap,728.1
Kabupaten Banyumas,1071.95
Kabupaten Purbalingga,835.95
Kabupaten Banjarnegara,636.84
Kabupaten Kebumen,1133.55
Kabupaten Purworejo,567.18
Kabupaten Wonosobo,599.53
Kabupaten Magelang,465.04
Kabupaten Boyolali,1030.14
Kabupaten Klaten,439.22
Kabupaten Sukoharjo,669.22
Kabupaten Wonogiri,1442.78
Kabupaten Karanganyar,1128.88
Kabupaten Sragen,1371.85
Kabupaten Grobogan,558.65
Kabupaten Blora,1167.35
Kabupaten Rembang,849.59
Kabupaten Pati,621.7
Kabupaten Kudus,102.08
Kabupaten Jepara,824.26
Kabupaten Demak,342.43
Kabupaten Semarang,52.17
Kabupaten Temanggung,329.64
Kabupaten Kendal,824.37
Kabupaten Batang,742.15
Kabupaten Pekalongan,1483.79
Kabupaten Pemalang,620.54
Kabupaten Tegal,547.6
Kabupaten Brebes,28.97
Kota Magelang,345.67
Kota Surakarta,591.81
Kota Salatiga,1075.71
Kota Semarang,1356.58
Kota Pekalongan,211.7
Kota Tegal,1139.28
Kabupaten Kulon Progo,570.67
Kabupaten Bantul,814.35
Kabupaten Gunungkidul,498.55
Kabupaten Sleman,175.98
Kota Yogyakarta,816.43
Kabupaten Pacitan,1437.99
Kabupaten Ponorogo,322.24
Kabupaten Trenggalek,957.77
Kabupaten Tulungagung,976.94
Kabupaten Blitar,1425.57
Kabupaten Kediri,976.07
Kabupaten Malang,757.89
Kabupaten Lumajang,681.89
Kabupaten Jember,1291.73
Kabupaten Banyuwangi,595.54
Kabupaten Bondowoso,416.82
Kabupaten Situbondo,1200.1
Kabupaten Probolinggo,1065.68
Kabupaten Pasuruan,285.8
Kabupaten Sidoarjo,1336.01
Kabupaten Mojokerto,224.31
Kabupaten Jombang,85.86
Kabupaten Nganjuk,644.73
Kabupaten Madiun,949.32
Kabupaten Magetan,167.01
Kabupaten Ngawi,530.88
Kabupaten Bojonegoro,902.6
Kabupaten Tuban,1252.86
Kabupaten Lamongan,910.29
Kabupaten Gresik,344.21
Kabupaten Bangkalan,1024.55
Kabupaten Sampang,934.63
Kabupaten Pamekasan,1375.77
Kabupaten Sumenep,1230.02
Kota Kediri,1497.81
Kota Blitar,328.65
Kota Malang,899.23
Kota Probolinggo,1367.71
Kota Pasuruan,1292.47
Kota Mojokerto,1474.9
Kota Madiun,394.74
Kota Surabaya,31.74
Kota Batu,1384.37
Kabupaten Pandeglang,246.85
Kabupaten Lebak,757.92
Kabupaten Tangerang,989.69
Kabupaten Serang,1337.01
Kota Tangerang,695.65
Kota Cilegon,641.04
Kota Serang,1397.64
Kota Tangerang Selatan,1198.46
Kabupaten Jembrana,582.29
Kabupaten Tabanan,1021.34
Kabupaten Badung,1456.64
Kabupaten Gianyar,1307.81
Kabupaten Klungkung,1441.93
Kabupaten Bangli,860.26
Kabupaten Karangasem,966.94
Kabupaten Buleleng,27.48
Kota Denpasar,444.97
Kabupaten Lombok Barat,723.98
Kabupaten Lombok Tengah,497.24
Kabupaten Lombok Timur,1255.39
Kabupaten Sumbawa,150.63
Kabupaten Dompu,808.79
Kabupaten Bima,354.82
Kabupaten Sumbawa Barat,208.52
Kabupaten Lombok Utara,543.02
Kota Mataram,1419.14
Kota Bima,1245.54
Kabupaten Kupang,725.75
Kabupaten Timor Tengah Selatan,1051.02
Kabupaten Timor Tengah Utara,452.32
Kabupaten Belu,611.09
Kabupaten Alor,1345.29
Kabupaten Flores Timur,129.61
Kabupaten Sikka,11.37
Kabupaten Ende,788.18
Kabupaten Ngada,56.16
Kabupaten Manggarai,880.15
Kabupaten Sumba Timur,734.47
Kabupaten Sumba Barat,809.36
Kabupaten Lembata,1256.8
Kabupaten Rote Ndao,328.27
Kabupaten Manggarai Barat,959.15
Kabupaten Nagekeo,824.29
Kabupaten Sumba Tengah,150.26
Kabupaten Sumba Barat Daya,1086.31
Kabupaten Manggarai Timur,95.66
Kabupaten Sabu Raijua,1470.99
Kabupaten Malaka,242.16
Kota Kupang,1380.03
Kabupaten Sambas,421.18
Kabupaten Mempawah,637.55
Kabupaten Sanggau,527.23
Kabupaten Ketapang,326.97
Kabupaten Sintang,405.43
Kabupaten Kapuas Hulu,1326.66
Kabupaten Bengkayang,106.09
Kabupaten Landak,930.32
Kabupaten Sekadau,380.86
Kabupaten Melawi,371.85
Kabupaten Kayong Utara,1026.17
Kabupaten Kubu Raya,556.1
Kota Pontianak,1085.45
Kota Singkawang,462.82
Kabupaten Kotawaringin Barat,1242.42
Kabupaten Kotawaringin Timur,628.51
Kabupaten Kapuas,1140.2
Kabupaten Barito Selatan,1265.17
Kabupaten Barito Utara,809.01
Kabupaten Katingan,724.47
Kabupaten Seruyan,1234.49
Kabupaten Sukamara,872.45
Kabupaten Lamandau,476.53
Kabupaten Gunung Mas,339.71
Kabupaten Pulang Pisau,49.79
Kabupaten Murung Raya,1090.6
Kabupaten Barito Timur,882.02
Kota Palangkaraya,202.42
Kabupaten Tanah Laut,27.3
Kabupaten Kotabaru,579.19
Kabupaten Banjar,1424.92
Kabupaten Barito Kuala,1129.31
Kabupaten Tapin,846.85
Kabupaten Hulu Sungai Selatan,283.83
Kabupaten Hulu Sungai Tengah,377.53
Kabupaten Hulu Sungai Utara,1295.89
Kabupaten Tabalong,28.18
Kabupaten Tanah Bumbu,840.36
Kabupaten Balangan,1164.24
Kota Banjarmasin,1175.74
Kota Banjarbaru,891.25
Kabupaten Paser,717.3
Kabupaten Kutai Kartanegara,237.5
Kabupaten Berau,493.26
Kabupaten Kutai Barat,948.97
Kabupaten Kutai Timur,403.67
Kabupaten Penajam Paser Utara,951.76
Kabupaten Mahakam Ulu,797.04
Kota Balikpapan,1409.31
Kota Samarinda,323.64
Kota Bontang,1219.8
Kabupaten Bulungan,853.4
Kabupaten Malinau,1428.05
Kabupaten Nunukan,1121.24
Kabupaten Tana Tidung,1352.18
Kota Tarakan,982.84
Kabupaten Bolaang Mongondow,856.46
Kabupaten Minahasa,1026.24
Kabupaten Kepulauan Sangihe,1296.96
Kabupaten Kepulauan Talaud,784.04
Kabupaten Minahasa Selatan,971.59
Kabupaten Minahasa Utara,1357.25
Kabupaten Minahasa Tenggara,758.88
Kabupaten Bolaang Mongondow Utara,137.09
Kabupaten Kep. Siau Tagulandang Biaro,565.98
Kabupaten Bolaang Mongondow Timur,741.63
Kabupaten Bolaang Mongondow Selatan,839.88
Kota Manado,1126.2
Kota Bitung,530.87
Kota Tomohon,1398.14
Kota Kotamobagu,698.31
Kabupaten Banggai,914.23
Kabupaten Poso,72.22
Kabupaten Donggala,1427.91
Kabupaten Toli-Toli,1189.06
Kabupaten Buol,394.55
Kabupaten Morowali,1062.93
Kabupaten Banggai Kepulauan,210.27
Kabupaten Parigi Moutong,1098.04
Kabupaten Tojo Una Una,944.86
Kabupaten Sigi,1182.73
Kabupaten Banggai Laut,990.34
Kabupaten Morowali Utara,982.45
Kota Palu,1227.27
Kabupaten Kepulauan Selayar,661.94
Kabupaten Bulukumba,651.52
Kabupaten Bantaeng,862.23
Kabupaten Jeneponto,422.71
Kabupaten Takalar,151.54
Kabupaten Gowa,94.73
Kabupaten Sinjai,1445.81
Kabupaten Bone,557.17
Kabupaten Maros,989.66
Kabupaten Pangkajene dan Kepulauan,107.43
Kabupaten Barru,935.33
Kabupaten Soppeng,599.94
Kabupaten Wajo,1467.68
Kabupaten Sidenreng Rappang,439.42
Kabupaten Pinrang,1252.75
Kabupaten Enrekang,1277.18
Kabupaten Luwu,1148.4
Kabupaten Tana Toraja,1450.31
Kabupaten Luwu Utara,1441.08
Kabupaten Luwu Timur,1426.12
Kabupaten Toraja Utara,1141.82
Kota Makassar,18.4
Kota Parepare,1398.73
Kota Palopo,1148.49
Kabupaten Kolaka,1402.56
Kabupaten Konawe,724.89
Kabupaten Muna,176.88
Kabupaten Buton,809.49
Kabupaten Konawe Selatan,560.4
Kabupaten Bombana,576.89
Kabupaten Wakatobi,1071.57
Kabupaten Kolaka Utara,913.56
Kabupaten Konawe Utara,452.0
Kabupaten Buton Utara,1341.58
Kabupaten Kolaka Timur,85.75
Kabupaten Konawe Kepulauan,1445.23
Kabupaten Muna Barat,626.07
Kabupaten Buton Tengah,1349.12
Kabupaten Buton Selatan,539.72
Kota Kendari,535.58
Kota Bau Bau,546.5
Kabupaten Gorontalo,555.41
Kabupaten Boalemo,1250.05
Kabupaten Bone Bolango,176.05
Kabupaten Pohuwato,1404.86
Kabupaten Gorontalo Utara,326.62
Kota Gorontalo,829.46
Kabupaten Pasangkayu,921.85
Kabupaten Mamuju,23.41
Kabupaten Mamasa,801.62
Kabupaten Polewali Mandar,547.22
Kabupaten Majene,1133.37
Kabupaten Mamuju Tengah,617.93
Kabupaten Maluku Tengah,410.93
Kabupaten Maluku Tenggara,295.06
Kabupaten Kepulauan Tanimbar,600.0
Kabupaten Buru,118.62
Kabupaten Seram Bagian Timur,1319.01
Kabupaten Seram Bagian Barat,567.98
Kabupaten Kepulauan Aru,419.67
Kabupaten Maluku Barat Daya,1133.69
Kabupaten Buru Selatan,69.66
Kota Ambon,883.65
Kota Tual,994.63
Kabupaten Halmahera Barat,1336.42
Kabupaten Halmahera Tengah,68.09
Kabupaten Halmahera Utara,614.92
Kabupaten Halmahera Selatan,1351.07
Kabupaten Kepulauan Sula,756.72
Kabupaten Halmahera Timur,1182.89
Kabupaten Pulau Morotai,799.48
Kabupaten Pulau Taliabu,1063.55
Kota Ternate,952.18
Kota Tidore Kepulauan,1407.16
Kabupaten Jayapura,323.37
Kabupaten Kepulauan Yapen,510.29
Kabupaten Biak Numfor,453.91
Kabupaten Sarmi,557.18
Kabupaten Keerom,302.75
Kabupaten Waropen,473.99
Kabupaten Supiori,1367.37
Kabupaten Mamberamo Raya,412.42
Kota Jayapura,841.37
Kabupaten Manokwari,406.99
Kabupaten Fak Fak,1460.6
Kabupaten Teluk Bintuni,359.06
Kabupaten Teluk Wondama,534.08
Kabupaten Kaimana,301.63
Kabupaten Manokwari Selatan,78.75
Kabupaten Pegunungan Arfak,1166.3
Kabupaten Merauke,563.04
Kabupaten Boven Digoel,180.06
Kabupaten Mappi,1336.61
Kabupaten Asmat,1233.4
Kabupaten Nabire,872.99
Kabupaten Puncak Jaya,797.77
Kabupaten Paniai,472.43
Kabupaten Mimika,407.97
Kabupaten Puncak,468.85
Kabupaten Dogiyai,865.29
Kabupaten Intan Jaya,153.97
Kabupaten Deiyai,1460.02
Kabupaten Jayawijaya,1054.74
Kabupaten Pegunungan Bintang,191.7
Kabupaten Yahukimo,720.51
Kabupaten Tolikara,1244.76
Kabupaten Mamberamo Tengah,1021.18
Kabupaten Yalimo,1385.5
Kabupaten Lanny Jaya,339.84
Kabupaten Nduga,856.51
Kabupaten Sorong,525.03
Kabupaten Sorong Selatan,1041.87
Kabupaten Raja Ampat,994.46
Kabupaten Tambrauw,751.26
Kabupaten Maybrat,644.44
Kota Sorong,621.74
