city,province,lat,lng,rainfall_1h,rainfall_3h,rainfall_24h,humidity,temperature,wind_speed
Kota Blitar,Jawa Timur,-8.0983,112.1681,0.97,2.9099999999999997,9.7,90.83333333333333,25.475000000000005,3.4416666666666664
Kota Probolinggo,Jawa Timur,-7.7543,113.2159,0.9,2.6999999999999997,9.0,84.70833333333333,27.795833333333334,5.7124999999999995
Kota Pasuruan,Jawa Timur,-7.6453,112.9075,1.05,3.15,10.5,85.33333333333333,27.85833333333333,6.625
Kota Mojokerto,Jawa Timur,-7.4664,112.4338,0.14,0.42000000000000004,1.4000000000000001,84.875,27.625,8.9
Kota Madiun,Jawa Timur,-7.6298,111.5239,1.02,3.0599999999999996,10.2,90.08333333333333,26.429166666666664,5.849999999999999
Kota Surabaya,Jawa Timur,-7.24917,112.75083,1.1,3.3,11.0,81.66666666666667,27.916666666666668,7.425
Kota Batu,Jawa Timur,-7.87,112.52833,0.8500000000000001,2.55,8.5,88.04166666666667,22.412500000000005,3.3083333333333336
Kabupaten Serang,Banten,-6.11528,106.15417,0.31000000000000005,0.9299999999999999,3.1,86.33333333333333,26.8875,5.808333333333334
Kota Tangerang,Banten,-6.17806,106.63,0.16000000000000003,0.48,1.6,81.70833333333333,27.524999999999995,5.929166666666667
Kota Denpasar,Bali,-8.65,115.21667,0.35000000000000003,1.05,3.5,85.79166666666667,27.0625,4.929166666666667
Kota Mataram,Nusa Tenggara Barat,-8.58333,116.11667,0.36000000000000004,1.08,3.6,87.66666666666667,26.695833333333336,4.579166666666667
Kota Kupang,Nusa Tenggara Timur,-10.17083,123.60694,0.08000000000000002,0.24,0.8,74.66666666666667,27.558333333333334,13.345833333333333
Kota Pontianak,Kalimantan Barat,-0.03194,109.325,0.8500000000000001,2.55,8.5,90.54166666666667,27.05,5.429166666666667
Kota Balikpapan,Kalimantan Timur,-1.26753,116.82887,0.06999999999999999,0.21,0.7,83.54166666666667,27.28333333333333,7.712500000000001
Kota Samarinda,Kalimantan Timur,-0.49167,117.14583,0.19,0.57,1.9,83.25,28.058333333333326,5.929166666666667
Kota Bontang,Kalimantan Timur,0.1324,117.4854,0.010000000000000002,0.03,0.1,83.75,27.870833333333334,7.920833333333333
Kota Tarakan,Kalimantan Utara,3.31332,117.59152,0.27999999999999997,0.84,2.8,80.625,28.224999999999998,7.025000000000001
Kota Manado,Sulawesi Utara,1.48218,124.84892,0.29000000000000004,0.8700000000000001,2.9000000000000004,84.375,26.88333333333333,4.825
Kota Bitung,Sulawesi Utara,1.44059,125.12824,0.5900000000000001,1.77,5.9,88.58333333333333,26.841666666666665,5.654166666666666
Kota Palu,Sulawesi Tengah,-0.90833,119.87083,0.21000000000000002,0.63,2.1,85.5,28.320833333333336,5.5874999999999995
Kota Makassar,Sulawesi Selatan,-5.14861,119.43194,0.06,0.18,0.6,83.875,28.020833333333332,5.754166666666667
Kota Kendari,Sulawesi Tenggara,-3.9778,122.51507,0.27999999999999997,0.84,2.8,90.16666666666667,26.516666666666666,4.0375000000000005
Kota Ambon,Maluku,-3.69583,128.18333,0.45999999999999996,1.38,4.6,89.75,26.674999999999997,8.620833333333332
Kota Ternate,Maluku Utara,0.78333,127.36667,0.47,1.4099999999999997,4.699999999999999,85.625,26.575000000000003,4.675
Kota Jayapura,Papua,-2.53371,140.71812,1.58,4.74,15.8,92.16666666666667,26.383333333333336,6.304166666666667
Kota Sorong,Papua Barat Daya,-0.87956,131.26105,0.8400000000000001,2.52,8.4,91.25,26.141666666666666,6.866666666666667
