city,province,lat,lng
Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta,,
Kabupaten Sleman,Daerah Istimewa Yogyakarta,,
Kota Yogyakarta,Daerah Istimewa Yogyakarta,,
Kabupaten Pacitan,Jawa Timur,,
Kabupaten Ponorogo,Jawa Timur,,
Kabupaten Trenggalek,Jawa Timur,,
Kabupaten Tulungagung,Jawa Timur,,
Kabupaten Blitar,Jawa Timur,,
Kabupaten Kediri,Jawa Timur,,
Kabupaten Malang,Jawa Timur,-7.9797,112.6304
Kabupaten Lumajang,Jawa Timur,-8.1335,113.2248
Kabupaten Jember,Jawa Timur,,
Kabupaten Banyuwangi,Jawa Timur,,
Kabupaten Bondowoso,Jawa Timur,,
Kabupaten Situbondo,Jawa Timur,,
Kabupaten Probolinggo,Jawa Timur,,
Kabupaten Pasuruan,Jawa Timur,,
Kabupaten Sidoarjo,Jawa Timur,,
Kabupaten Mojokerto,Jawa Timur,,
Kabupaten Jombang,Jawa Timur,,
Kabupaten Nganjuk,Jawa Timur,,
Kabupaten Madiun,Jawa Timur,,
Kabupaten Magetan,Jawa Timur,,
Kabupaten Ngawi,Jawa Timur,,
Kabupaten Bojonegoro,Jawa Timur,,
Kabupaten Tuban,Jawa Timur,,
Kabupaten Lamongan,Jawa Timur,,
Kabupaten Gresik,Jawa Timur,,
Kabupaten Bangkalan,Jawa Timur,,
Kabupaten Sampang,Jawa Timur,,
Kabupaten Pamekasan,Jawa Timur,,
Kabupaten Sumenep,Jawa Timur,,
Kota Kediri,Jawa Timur,-7.81667,112.01667
Kota Blitar,Jawa Timur,-8.0983,112.1681
Kota Malang,Jawa Timur,,
Kota Probolinggo,Jawa Timur,-7.7543,113.2159
Kota Pasuruan,Jawa Timur,-7.6453,112.9075
Kota Mojokerto,Jawa Timur,-7.4664,112.4338
Kota Madiun,Jawa Timur,-7.6298,111.5239
Kota Surabaya,Jawa Timur,-7.24917,112.75083
Kota Batu,Jawa Timur,-7.87,112.52833
Kabupaten Pandeglang,Banten,,
Kabupaten Lebak,Banten,,
Kabupaten Tangerang,Banten,,
Kabupaten Serang,Banten,-6.11528,106.15417
Kota Tangerang,Banten,-6.17806,106.63
Kota Cilegon,Banten,,
Kota Serang,Banten,,
Kota Tangerang Selatan,Banten,,
Kabupaten Jembrana,Bali,,
Kabupaten Tabanan,Bali,,
Kabupaten Badung,Bali,,
Kabupaten Gianyar,Bali,,
Kabupaten Klungkung,Bali,,
Kabupaten Bangli,Bali,,
Kabupaten Karangasem,Bali,,
Kabupaten Buleleng,Bali,,
Kota Denpasar,Bali,-8.65,115.21667
Kabupaten Lombok Barat,Nusa Tenggara Barat,,
Kabupaten Lombok Tengah,Nusa Tenggara Barat,,
Kabupaten Lombok Timur,Nusa Tenggara Barat,,
Kabupaten Sumbawa,Nusa Tenggara Barat,,
Kabupaten Dompu,Nusa Tenggara Barat,,
Kabupaten Bima,Nusa Tenggara Barat,,
Kabupaten Sumbawa Barat,Nusa Tenggara Barat,,
Kabupaten Lombok Utara,Nusa Tenggara Barat,,
Kota Mataram,Nusa Tenggara Barat,-8.58333,116.11667
Kota Bima,Nusa Tenggara Barat,,
Kabupaten Kupang,Nusa Tenggara Timur,,
Kabupaten Timor Tengah Selatan,Nusa Tenggara Timur,,
Kabupaten Timor Tengah Utara,Nusa Tenggara Timur,,
Kabupaten Belu,Nusa Tenggara Timur,,
Kabupaten Alor,Nusa Tenggara Timur,,
Kabupaten Flores Timur,Nusa Tenggara Timur,,
Kabupaten Sikka,Nusa Tenggara Timur,,
Kabupaten Ende,Nusa Tenggara Timur,,
Kabupaten Ngada,Nusa Tenggara Timur,,
Kabupaten Manggarai,Nusa Tenggara Timur,,
Kabupaten Sumba Timur,Nusa Tenggara Timur,,
Kabupaten Sumba Barat,Nusa Tenggara Timur,,
Kabupaten Lembata,Nusa Tenggara Timur,,
Kabupaten Rote Ndao,Nusa Tenggara Timur,,
Kabupaten Manggarai Barat,Nusa Tenggara Timur,,
Kabupaten Nagekeo,Nusa Tenggara Timur,,
Kabupaten Sumba Tengah,Nusa Tenggara Timur,,
Kabupaten Sumba Barat Daya,Nusa Tenggara Timur,,
Kabupaten Manggarai Timur,Nusa Tenggara Timur,,
Kabupaten Sabu Raijua,Nusa Tenggara Timur,,
Kabupaten Malaka,Nusa Tenggara Timur,,
Kota Kupang,Nusa Tenggara Timur,-10.17083,123.60694
Kabupaten Sambas,Kalimantan Barat,,
Kabupaten Mempawah,Kalimantan Barat,,
Kabupaten Sanggau,Kalimantan Barat,,
Kabupaten Ketapang,Kalimantan Barat,,
Kabupaten Sintang,Kalimantan Barat,,
Kabupaten Kapuas Hulu,Kalimantan Barat,,
Kabupaten Bengkayang,Kalimantan Barat,,
Kabupaten Landak,Kalimantan Barat,,
Kabupaten Sekadau,Kalimantan Barat,,
Kabupaten Melawi,Kalimantan Barat,,
Kabupaten Kayong Utara,Kalimantan Barat,,
Kabupaten Kubu Raya,Kalimantan Barat,,
Kota Pontianak,Kalimantan Barat,-0.03194,109.325
Kota Singkawang,Kalimantan Barat,,
Kabupaten Kotawaringin Barat,Kalimantan Tengah,,
Kabupaten Kotawaringin Timur,Kalimantan Tengah,,
Kabupaten Kapuas,Kalimantan Tengah,,
Kabupaten Barito Selatan,Kalimantan Tengah,,
Kabupaten Barito Utara,Kalimantan Tengah,,
Kabupaten Katingan,Kalimantan Tengah,,
Kabupaten Seruyan,Kalimantan Tengah,,
Kabupaten Sukamara,Kalimantan Tengah,,
Kabupaten Lamandau,Kalimantan Tengah,,
Kabupaten Gunung Mas,Kalimantan Tengah,,
Kabupaten Pulang Pisau,Kalimantan Tengah,,
Kabupaten Murung Raya,Kalimantan Tengah,,
Kabupaten Barito Timur,Kalimantan Tengah,,
Kota Palangkaraya,Kalimantan Tengah,,
Kabupaten Tanah Laut,Kalimantan Selatan,,
Kabupaten Kotabaru,Kalimantan Selatan,,
Kabupaten Banjar,Kalimantan Selatan,,
Kabupaten Barito Kuala,Kalimantan Selatan,,
Kabupaten Tapin,Kalimantan Selatan,,
Kabupaten Hulu Sungai Selatan,Kalimantan Selatan,,
Kabupaten Hulu Sungai Tengah,Kalimantan Selatan,,
Kabupaten Hulu Sungai Utara,Kalimantan Selatan,,
Kabupaten Tabalong,Kalimantan Selatan,,
Kabupaten Tanah Bumbu,Kalimantan Selatan,,
Kabupaten Balangan,Kalimantan Selatan,,
Kota Banjarmasin,Kalimantan Selatan,,
Kota Banjarbaru,Kalimantan Selatan,,
Kabupaten Paser,Kalimantan Timur,,
Kabupaten Kutai Kartanegara,Kalimantan Timur,,
Kabupaten Berau,Kalimantan Timur,,
Kabupaten Kutai Barat,Kalimantan Timur,,
Kabupaten Kutai Timur,Kalimantan Timur,,
Kabupaten Penajam Paser Utara,Kalimantan Timur,,
Kabupaten Mahakam Ulu,Kalimantan Timur,,
Kota Balikpapan,Kalimantan Timur,-1.26753,116.82887
Kota Samarinda,Kalimantan Timur,-0.49167,117.14583
Kota Bontang,Kalimantan Timur,0.1324,117.4854
Kabupaten Bulungan,Kalimantan Utara,,
Kabupaten Malinau,Kalimantan Utara,,
Kabupaten Nunukan,Kalimantan Utara,,
Kabupaten Tana Tidung,Kalimantan Utara,,
Kota Tarakan,Kalimantan Utara,3.31332,117.59152
Kabupaten Bolaang Mongondow,Sulawesi Utara,,
Kabupaten Minahasa,Sulawesi Utara,,
Kabupaten Kepulauan Sangihe,Sulawesi Utara,,
Kabupaten Kepulauan Talaud,Sulawesi Utara,,
Kabupaten Minahasa Selatan,Sulawesi Utara,,
Kabupaten Minahasa Utara,Sulawesi Utara,,
Kabupaten Minahasa Tenggara,Sulawesi Utara,,
Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,,
Kabupaten Kep. Siau Tagulandang Biaro,Sulawesi Utara,,
Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,,
Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,,
Kota Manado,Sulawesi Utara,1.48218,124.84892
Kota Bitung,Sulawesi Utara,1.44059,125.12824
Kota Tomohon,Sulawesi Utara,,
Kota Kotamobagu,Sulawesi Utara,,
Kabupaten Banggai,Sulawesi Tengah,,
Kabupaten Poso,Sulawesi Tengah,,
Kabupaten Donggala,Sulawesi Tengah,,
Kabupaten Toli-Toli,Sulawesi Tengah,,
Kabupaten Buol,Sulawesi Tengah,,
Kabupaten Morowali,Sulawesi Tengah,,
Kabupaten Banggai Kepulauan,Sulawesi Tengah,,
Kabupaten Parigi Moutong,Sulawesi Tengah,,
Kabupaten Tojo Una Una,Sulawesi Tengah,,
Kabupaten Sigi,Sulawesi Tengah,,
Kabupaten Banggai Laut,Sulawesi Tengah,,
Kabupaten Morowali Utara,Sulawesi Tengah,,
Kota Palu,Sulawesi Tengah,-0.90833,119.87083
Kabupaten Kepulauan Selayar,Sulawesi Selatan,,
Kabupaten Bulukumba,Sulawesi Selatan,,
Kabupaten Bantaeng,Sulawesi Selatan,,
Kabupaten Jeneponto,Sulawesi Selatan,,
Kabupaten Takalar,Sulawesi Selatan,,
Kabupaten Gowa,Sulawesi Selatan,,
Kabupaten Sinjai,Sulawesi Selatan,,
Kabupaten Bone,Sulawesi Selatan,,
Kabupaten Maros,Sulawesi Selatan,,
Kabupaten Pangkajene dan Kepulauan,Sulawesi Selatan,,
Kabupaten Barru,Sulawesi Selatan,,
Kabupaten Soppeng,Sulawesi Selatan,,
Kabupaten Wajo,Sulawesi Selatan,,
Kabupaten Sidenreng Rappang,Sulawesi Selatan,,
Kabupaten Pinrang,Sulawesi Selatan,,
Kabupaten Enrekang,Sulawesi Selatan,,
Kabupaten Luwu,Sulawesi Selatan,,
Kabupaten Tana Toraja,Sulawesi Selatan,,
Kabupaten Luwu Utara,Sulawesi Selatan,,
Kabupaten Luwu Timur,Sulawesi Selatan,,
Kabupaten Toraja Utara,Sulawesi Selatan,,
Kota Makassar,Sulawesi Selatan,-5.14861,119.43194
Kota Parepare,Sulawesi Selatan,,
Kota Palopo,Sulawesi Selatan,,
Kabupaten Kolaka,Sulawesi Tenggara,,
Kabupaten Konawe,Sulawesi Tenggara,,
Kabupaten Muna,Sulawesi Tenggara,,
Kabupaten Buton,Sulawesi Tenggara,,
Kabupaten Konawe Selatan,Sulawesi Tenggara,,
Kabupaten Bombana,Sulawesi Tenggara,,
Kabupaten Wakatobi,Sulawesi Tenggara,,
Kabupaten Kolaka Utara,Sulawesi Tenggara,,
Kabupaten Konawe Utara,Sulawesi Tenggara,,
Kabupaten Buton Utara,Sulawesi Tenggara,,
Kabupaten Kolaka Timur,Sulawesi Tenggara,,
Kabupaten Konawe Kepulauan,Sulawesi Tenggara,,
Kabupaten Muna Barat,Sulawesi Tenggara,,
Kabupaten Buton Tengah,Sulawesi Tenggara,,
Kabupaten Buton Selatan,Sulawesi Tenggara,,
Kota Kendari,Sulawesi Tenggara,-3.9778,122.51507
Kota Bau Bau,Sulawesi Tenggara,,
Kabupaten Gorontalo,Gorontalo,,
Kabupaten Boalemo,Gorontalo,,
Kabupaten Bone Bolango,Gorontalo,,
Kabupaten Pohuwato,Gorontalo,,
Kabupaten Gorontalo Utara,Gorontalo,,
Kota Gorontalo,Gorontalo,,
Kabupaten Pasangkayu,Sulawesi Barat,,
Kabupaten Mamuju,Sulawesi Barat,,
Kabupaten Mamasa,Sulawesi Barat,,
Kabupaten Polewali Mandar,Sulawesi Barat,,
Kabupaten Majene,Sulawesi Barat,,
Kabupaten Mamuju Tengah,Sulawesi Barat,,
Kabupaten Maluku Tengah,Maluku,,
Kabupaten Maluku Tenggara,Maluku,,
Kabupaten Kepulauan Tanimbar,Maluku,,
Kabupaten Buru,Maluku,,
Kabupaten Seram Bagian Timur,Maluku,,
Kabupaten Seram Bagian Barat,Maluku,,
Kabupaten Kepulauan Aru,Maluku,,
Kabupaten Maluku Barat Daya,Maluku,,
Kabupaten Buru Selatan,Maluku,,
Kota Ambon,Maluku,-3.69583,128.18333
Kota Tual,Maluku,,
Kabupaten Halmahera Barat,Maluku Utara,,
Kabupaten Halmahera Tengah,Maluku Utara,,
Kabupaten Halmahera Utara,Maluku Utara,,
Kabupaten Halmahera Selatan,Maluku Utara,,
Kabupaten Kepulauan Sula,Maluku Utara,,
Kabupaten Halmahera Timur,Maluku Utara,,
Kabupaten Pulau Morotai,Maluku Utara,,
Kabupaten Pulau Taliabu,Maluku Utara,,
Kota Ternate,Maluku Utara,0.78333,127.36667
Kota Tidore Kepulauan,Maluku Utara,,
Kabupaten Jayapura,Papua,,
Kabupaten Kepulauan Yapen,Papua,,
Kabupaten Biak Numfor,Papua,,
Kabupaten Sarmi,Papua,,
Kabupaten Keerom,Papua,,
Kabupaten Waropen,Papua,,
Kabupaten Supiori,Papua,,
Kabupaten Mamberamo Raya,Papua,,
Kota Jayapura,Papua,-2.53371,140.71812
Kabupaten Manokwari,Papua Barat,,
Kabupaten Fak Fak,Papua Barat,,
Kabupaten Teluk Bintuni,Papua Barat,,
Kabupaten Teluk Wondama,Papua Barat,,
Kabupaten Kaimana,Papua Barat,,
Kabupaten Manokwari Selatan,Papua Barat,,
Kabupaten Pegunungan Arfak,Papua Barat,,
Kabupaten Merauke,Papua Selatan,,
Kabupaten Boven Digoel,Papua Selatan,,
Kabupaten Mappi,Papua Selatan,,
Kabupaten Asmat,Papua Selatan,,
Kabupaten Nabire,Papua Tengah,,
Kabupaten Puncak Jaya,Papua Tengah,,
Kabupaten Paniai,Papua Tengah,,
Kabupaten Mimika,Papua Tengah,,
Kabupaten Puncak,Papua Tengah,,
Kabupaten Dogiyai,Papua Tengah,,
Kabupaten Intan Jaya,Papua Tengah,,
Kabupaten Deiyai,Papua Tengah,,
Kabupaten Jayawijaya,Papua Pegunungan,,
Kabupaten Pegunungan Bintang,Papua Pegunungan,,
Kabupaten Yahukimo,Papua Pegunungan,,
Kabupaten Tolikara,Papua Pegunungan,,
Kabupaten Mamberamo Tengah,Papua Pegunungan,,
Kabupaten Yalimo,Papua Pegunungan,,
Kabupaten Lanny Jaya,Papua Pegunungan,,
Kabupaten Nduga,Papua Pegunungan,,
Kabupaten Sorong,Papua Barat Daya,,
Kabupaten Sorong Selatan,Papua Barat Daya,,
Kabupaten Raja Ampat,Papua Barat Daya,,
Kabupaten Tambrauw,Papua Barat Daya,,
Kabupaten Maybrat,Papua Barat Daya,,
Kota Sorong,Papua Barat Daya,-0.87956,131.26105
